type,correct,n,k,p,s,e,g_threshold,t_mean,t_stdev,t_q0,t_q1,t_q2,t_q3,t_q4
sequential_mergesort,1,4,,,,,,0.068714121,0.000575907,0.068196848,0.068280735,0.068611038,0.069044423,0.069437559
sequential_k_way_mergesort,1,4,4,,,,,0.078127799,0.000355095,0.077883701,0.077958986,0.077985996,0.078154809,0.078655501
sequential_k_way_mergesort,1,4,8,,,,,0.066994076,0.000506535,0.066391468,0.066731803,0.066994538,0.067256811,0.067595758
parallel_mergesort,1,4,,1,,,1024,0.066397576,0.000611785,0.066002588,0.066069278,0.066139758,0.066468056,0.067308198
parallel_k_way_mergesort,1,4,4,1,,,1024,0.077477141,0.000301378,0.077221810,0.077301986,0.077389986,0.077565141,0.077906781
parallel_k_way_mergesort,1,4,8,1,,,1024,0.067041395,0.000579872,0.066596238,0.066740072,0.066838738,0.067140061,0.067891868
parallel_ranks_mergesort,1,4,,1,,,1024,0.071288899,0.000616718,0.070468969,0.071098744,0.071362709,0.071552864,0.071961209
parallel_ranks_k_way_mergesort,1,4,4,1,,,1024,0.245965036,0.002282001,0.243809825,0.244862781,0.245436431,0.246538686,0.249177456
parallel_ranks_k_way_mergesort,1,4,8,1,,,1024,0.221725282,0.000711277,0.220708369,0.221509654,0.221949160,0.222164787,0.222294439
parallel_mergesort,1,4,,1,,,4096,0.066253520,0.000562915,0.065740688,0.065780092,0.066249822,0.066723250,0.066773748
parallel_k_way_mergesort,1,4,4,1,,,4096,0.076920258,0.000213907,0.076735100,0.076752493,0.076880636,0.077048401,0.077184660
parallel_k_way_mergesort,1,4,8,1,,,4096,0.067600243,0.000939581,0.066878878,0.067024730,0.067282908,0.067858421,0.068956279
parallel_ranks_mergesort,1,4,,1,,,4096,0.069192994,0.000250857,0.068990749,0.069058586,0.069111878,0.069246286,0.069557469
parallel_ranks_k_way_mergesort,1,4,4,1,,,4096,0.240298484,0.004249829,0.236803163,0.237365521,0.239118729,0.242051693,0.246153315
parallel_ranks_k_way_mergesort,1,4,8,1,,,4096,0.214924432,0.003372128,0.210633736,0.213846759,0.215096137,0.216173810,0.218871718
parallel_mergesort,1,4,,2,1.884451837,0.942225918,1024,0.035234424,0.000111444,0.035145769,0.035178146,0.035197344,0.035253622,0.035397239
parallel_k_way_mergesort,1,4,4,2,1.832315717,0.916157858,1024,0.042283729,0.000103936,0.042129111,0.042274619,0.042325997,0.042335106,0.042353811
parallel_k_way_mergesort,1,4,8,2,1.744202671,0.872101336,1024,0.038436700,0.000346031,0.038076270,0.038184607,0.038427355,0.038679448,0.038815820
parallel_ranks_mergesort,1,4,,2,1.840307158,0.920153579,1024,0.038737500,0.000261168,0.038362620,0.038677215,0.038811636,0.038871921,0.038964110
parallel_ranks_k_way_mergesort,1,4,4,2,1.826575520,0.913287760,1024,0.134659111,0.000749518,0.133684186,0.134290493,0.134777786,0.135146404,0.135396687
parallel_ranks_k_way_mergesort,1,4,8,2,1.845092545,0.922546272,1024,0.120170277,0.002320761,0.117349521,0.118733249,0.120558962,0.121995989,0.122213662
parallel_mergesort,1,4,,2,1.885646685,0.942823342,4096,0.035135702,0.000059088,0.035047949,0.035127712,0.035160150,0.035168140,0.035174559
parallel_k_way_mergesort,1,4,4,2,1.815837802,0.907918901,4096,0.042360754,0.000191088,0.042166221,0.042235874,0.042337201,0.042462081,0.042602392
parallel_k_way_mergesort,1,4,8,2,1.772674757,0.886337379,4096,0.038134600,0.000143680,0.038043150,0.038046810,0.038074351,0.038162141,0.038346550
parallel_ranks_mergesort,1,4,,2,1.909175689,0.954587845,4096,0.036242339,0.000552584,0.035751680,0.035782114,0.036191009,0.036651234,0.036835660
parallel_ranks_k_way_mergesort,1,4,4,2,1.911176897,0.955588448,4096,0.125733251,0.000932685,0.124352323,0.125574973,0.126134868,0.126293146,0.126310944
parallel_ranks_k_way_mergesort,1,4,8,2,1.884068957,0.942034479,4096,0.114074610,0.004214408,0.110588889,0.112042885,0.112753881,0.114785606,0.120201791
parallel_mergesort,1,4,,4,2.240569881,0.560142470,1024,0.029634236,0.000930036,0.028315967,0.029311787,0.029958048,0.030280497,0.030304879
parallel_k_way_mergesort,1,4,4,4,2.924504194,0.731126048,1024,0.026492402,0.001252557,0.024918797,0.026069447,0.026535362,0.026958317,0.027980087
parallel_k_way_mergesort,1,4,8,4,2.742266032,0.685566508,1024,0.024447444,0.000240387,0.024211246,0.024267323,0.024426677,0.024606797,0.024725177
parallel_ranks_mergesort,1,4,,4,2.550677757,0.637669439,1024,0.027949003,0.001518787,0.026905017,0.027024800,0.027357543,0.028281746,0.030175908
parallel_ranks_k_way_mergesort,1,4,4,4,3.412521171,0.853130293,1024,0.072077219,0.002289291,0.069454138,0.070522401,0.072320425,0.073875242,0.074213889
parallel_ranks_k_way_mergesort,1,4,8,4,3.498380365,0.874595091,1024,0.063379409,0.000368364,0.062893847,0.063208397,0.063441352,0.063612364,0.063741087
parallel_mergesort,1,4,,4,2.348368435,0.587092109,4096,0.028212575,0.000517986,0.027459257,0.028080324,0.028405287,0.028537538,0.028580467
parallel_k_way_mergesort,1,4,4,4,2.856680279,0.714170070,4096,0.026926450,0.001839166,0.024525936,0.026029567,0.027227898,0.028124780,0.028724068
parallel_k_way_mergesort,1,4,8,4,2.791597324,0.697899331,4096,0.024215614,0.000775105,0.023148096,0.023903954,0.024412927,0.024724586,0.024888507
parallel_ranks_mergesort,1,4,,4,2.692654012,0.673163503,4096,0.025696949,0.001981398,0.023392287,0.024370061,0.026012607,0.027339495,0.027370297
parallel_ranks_k_way_mergesort,1,4,4,4,3.336654096,0.834163524,4096,0.072017799,0.003657790,0.067510968,0.070032828,0.072293919,0.074278890,0.075972390
parallel_ranks_k_way_mergesort,1,4,8,4,3.531601194,0.882900298,4096,0.060857504,0.001023556,0.059839365,0.060046028,0.060901697,0.061713172,0.061787256
parallel_mergesort,1,4,,8,3.563154483,0.445394310,1024,0.018634493,0.001460706,0.016920944,0.017757240,0.018680396,0.019557648,0.020256235
parallel_k_way_mergesort,1,4,4,8,3.985656188,0.498207023,1024,0.019438993,0.000427005,0.018996855,0.019112633,0.019460545,0.019786905,0.019838025
parallel_k_way_mergesort,1,4,8,8,3.442137993,0.430267249,1024,0.019476673,0.000242394,0.019125245,0.019416365,0.019558310,0.019618618,0.019664825
parallel_ranks_mergesort,1,4,,8,3.743152895,0.467894112,1024,0.019045148,0.001661177,0.016883464,0.018266592,0.019273910,0.020052465,0.020749306
parallel_ranks_k_way_mergesort,1,4,4,8,5.412406180,0.676550772,1024,0.045444674,0.000928286,0.044340071,0.045128562,0.045413437,0.045729549,0.046611752
parallel_ranks_k_way_mergesort,1,4,8,8,5.651586303,0.706448288,1024,0.039232398,0.000725160,0.038428620,0.038749103,0.039231235,0.039714530,0.040038501
parallel_mergesort,1,4,,8,3.727217137,0.465902142,4096,0.017775600,0.001051922,0.016918024,0.017098752,0.017462115,0.018138962,0.019260145
parallel_k_way_mergesort,1,4,4,8,3.859542526,0.482442816,4096,0.019929890,0.000357392,0.019494725,0.019810137,0.019927525,0.020047277,0.020369785
parallel_k_way_mergesort,1,4,8,8,3.367584890,0.420948111,4096,0.020073805,0.000123683,0.019952315,0.019978648,0.020066511,0.020161668,0.020209885
parallel_ranks_mergesort,1,4,,8,4.501490578,0.562686322,4096,0.015371129,0.001515451,0.013588733,0.014637451,0.015330440,0.016064117,0.017234905
parallel_ranks_k_way_mergesort,1,4,4,8,5.614654715,0.701831839,4096,0.042798444,0.000795785,0.042025321,0.042208576,0.042711622,0.043301489,0.043745211
parallel_ranks_k_way_mergesort,1,4,8,8,5.472675145,0.684084393,4096,0.039272280,0.001245339,0.038594300,0.038610200,0.038678540,0.039340620,0.041137741
sequential_mergesort,1,4,,,,,,0.299928806,0.002945214,0.296942048,0.297997171,0.299557789,0.301489424,0.303657600
sequential_k_way_mergesort,1,4,4,,,,,0.339877384,0.000912276,0.338942059,0.339171311,0.339943409,0.340649481,0.340680659
sequential_k_way_mergesort,1,4,8,,,,,0.304347820,0.001317190,0.303180650,0.303341885,0.304107845,0.305113780,0.305994941
parallel_mergesort,1,4,,1,,,1024,0.300221156,0.002621358,0.297939258,0.298467655,0.299570213,0.301323714,0.303804940
parallel_k_way_mergesort,1,4,4,1,,,1024,0.340975337,0.000260450,0.340672879,0.340862517,0.340961424,0.341074244,0.341305620
parallel_k_way_mergesort,1,4,8,1,,,1024,0.313380034,0.005162356,0.307512520,0.310917717,0.313020187,0.315482505,0.319967243
parallel_ranks_mergesort,1,4,,1,,,1024,0.324183505,0.002366389,0.322223704,0.322486361,0.323564170,0.325261313,0.327381975
parallel_ranks_k_way_mergesort,1,4,4,1,,,1024,1.081003251,0.014277436,1.073171128,1.073881626,1.074217804,1.081339429,1.102406267
parallel_ranks_k_way_mergesort,1,4,8,1,,,1024,1.605353146,0.009628602,1.594940252,1.598861898,1.605032659,1.611523907,1.616407015
parallel_mergesort,1,4,,1,,,4096,0.302219525,0.003553081,0.297938866,0.300107357,0.302502978,0.304615146,0.305933278
parallel_k_way_mergesort,1,4,4,1,,,4096,0.339841704,0.000237410,0.339693916,0.339725387,0.339738237,0.339854553,0.340196426
parallel_k_way_mergesort,1,4,8,1,,,4096,0.306398306,0.000258142,0.306182268,0.306279326,0.306318894,0.306437873,0.306773169
parallel_ranks_mergesort,1,4,,1,,,4096,0.312058794,0.001462337,0.309869938,0.311987309,0.312723440,0.312794925,0.312918360
parallel_ranks_k_way_mergesort,1,4,4,1,,,4096,1.009179641,0.001487519,1.006969655,1.008965519,1.009823056,1.010037179,1.010102796
parallel_ranks_k_way_mergesort,1,4,8,1,,,4096,1.550497706,0.003448648,1.545461421,1.549772976,1.551695096,1.552419826,1.553139210
parallel_mergesort,1,4,,2,1.883403171,0.941701586,1024,0.159403553,0.000985834,0.158725060,0.158875450,0.159012365,0.159540468,0.160864420
parallel_k_way_mergesort,1,4,4,2,1.800024926,0.900012463,1024,0.189428119,0.000598959,0.188889927,0.189032697,0.189290947,0.189686369,0.190240657
parallel_k_way_mergesort,1,4,8,2,1.785964513,0.892982257,1024,0.175468231,0.000568894,0.174906133,0.175093056,0.175382934,0.175758109,0.176200924
parallel_ranks_mergesort,1,4,,2,1.835897628,0.917948814,1024,0.176580382,0.000838564,0.175542434,0.176161350,0.176626655,0.177045687,0.177525785
parallel_ranks_k_way_mergesort,1,4,4,2,1.912602510,0.956301255,1024,0.565200163,0.001954775,0.562289680,0.564991218,0.566019691,0.566228636,0.566471591
parallel_ranks_k_way_mergesort,1,4,8,2,1.808463590,0.904231795,1024,0.887688950,0.003092904,0.884701199,0.885344385,0.887386465,0.889731031,0.891281672
parallel_mergesort,1,4,,2,1.861874698,0.930937349,4096,0.162320013,0.002870742,0.159241140,0.160191719,0.162611420,0.164739714,0.164816071
parallel_k_way_mergesort,1,4,4,2,1.790941156,0.895470578,4096,0.189755929,0.000454604,0.189237777,0.189453575,0.189780117,0.190082472,0.190225707
parallel_k_way_mergesort,1,4,8,2,1.732945872,0.866472936,4096,0.176807776,0.000689744,0.176161994,0.176236648,0.176819613,0.177390741,0.177429884
parallel_ranks_mergesort,1,4,,2,1.921251705,0.960625853,4096,0.162424732,0.001531130,0.160369579,0.161977482,0.162631285,0.163078535,0.164066781
parallel_ranks_k_way_mergesort,1,4,4,2,1.874246089,0.937123045,4096,0.538445643,0.003176430,0.535649682,0.535807843,0.538096603,0.540734404,0.541939684
parallel_ranks_k_way_mergesort,1,4,8,2,1.865641618,0.932820809,4096,0.831080144,0.006486676,0.825725554,0.826234548,0.829468333,0.834313930,0.839658357
parallel_mergesort,1,4,,4,2.568270839,0.642067710,1024,0.116896221,0.007839433,0.112053448,0.113052500,0.113459253,0.117302975,0.128612931
parallel_k_way_mergesort,1,4,4,4,3.013807944,0.753451986,1024,0.113137713,0.000222702,0.112810968,0.113094505,0.113218713,0.113261920,0.113302457
parallel_k_way_mergesort,1,4,8,4,2.815526669,0.703881667,1024,0.111304232,0.000512745,0.111008397,0.111016264,0.111069448,0.111357415,0.112069637
parallel_ranks_mergesort,1,4,,4,2.874641620,0.718660405,1024,0.112773537,0.001544963,0.111434597,0.111576407,0.112476437,0.113673567,0.114706679
parallel_ranks_k_way_mergesort,1,4,4,4,3.618908210,0.904727052,1024,0.298709773,0.001535053,0.296434452,0.298461140,0.299371494,0.299620126,0.299661654
parallel_ranks_k_way_mergesort,1,4,8,4,3.582774230,0.895693558,1024,0.448075442,0.002998870,0.444692159,0.446463517,0.447892209,0.449504134,0.451825190
parallel_mergesort,1,4,,4,2.682021643,0.670505411,4096,0.112683477,0.000468753,0.112004327,0.112557018,0.112853792,0.112980252,0.113021997
parallel_k_way_mergesort,1,4,4,4,3.011671376,0.752917844,4096,0.112841562,0.000603753,0.112326367,0.112441793,0.112682088,0.113081857,0.113675708
parallel_k_way_mergesort,1,4,8,4,2.750946595,0.687736649,4096,0.111379227,0.000953938,0.110397257,0.110696544,0.111320287,0.112002970,0.112479078
parallel_ranks_mergesort,1,4,,4,2.985989809,0.746497452,4096,0.104507655,0.001224800,0.103511165,0.103649413,0.104164475,0.105022718,0.106190506
parallel_ranks_k_way_mergesort,1,4,4,4,3.430729162,0.857682291,4096,0.294158936,0.002872131,0.291291360,0.291908093,0.294179681,0.296430524,0.296985023
parallel_ranks_k_way_mergesort,1,4,8,4,3.557301846,0.889325461,4096,0.435863408,0.001447486,0.434434586,0.434735403,0.435817670,0.436945676,0.437383705
parallel_mergesort,1,4,,8,3.749175110,0.468646889,1024,0.080076590,0.005907423,0.075187968,0.075715024,0.078590219,0.082951785,0.087937952
parallel_k_way_mergesort,1,4,4,8,3.789045562,0.473630695,1024,0.089989769,0.001532016,0.088533152,0.088747659,0.089950587,0.091192697,0.091524752
parallel_k_way_mergesort,1,4,8,8,3.387524414,0.423440552,1024,0.092510044,0.000301317,0.092093482,0.092413312,0.092571852,0.092668584,0.092802992
parallel_ranks_mergesort,1,4,,8,4.482929770,0.560366221,1024,0.072315098,0.002651973,0.068800417,0.071303317,0.072662268,0.073674048,0.075135439
parallel_ranks_k_way_mergesort,1,4,4,8,5.482617837,0.685327230,1024,0.197169178,0.002690720,0.195053437,0.195530902,0.196291857,0.197930133,0.201039559
parallel_ranks_k_way_mergesort,1,4,8,8,5.840156756,0.730019595,1024,0.274881859,0.000562618,0.274266646,0.274673116,0.274814627,0.275023369,0.275631537
parallel_mergesort,1,4,,8,3.906487166,0.488310896,4096,0.077363501,0.001754593,0.075239908,0.076318259,0.077526259,0.078571501,0.079161579
parallel_k_way_mergesort,1,4,4,8,3.773539443,0.471692430,4096,0.090059136,0.000345563,0.089597101,0.089901908,0.090129746,0.090286974,0.090379952
parallel_k_way_mergesort,1,4,8,8,3.241045491,0.405130686,4096,0.094536873,0.003252630,0.089658542,0.094506873,0.096126569,0.096156568,0.096235813
parallel_ranks_mergesort,1,4,,8,4.484111420,0.560513928,4096,0.069592114,0.003443346,0.065468606,0.067476168,0.069914976,0.072030922,0.073069898
parallel_ranks_k_way_mergesort,1,4,4,8,4.824543788,0.603067973,4096,0.209176180,0.007504366,0.200601249,0.206549537,0.208596980,0.211223623,0.218909512
