type,correct,n,k,p,s,e,g_threshold,t_mean,t_stdev,t_q0,t_q1,t_q2,t_q3,t_q4
parallel_ranks_k_way_mergesort,1,4,8,8,4.989729945,0.623716243,4096,0.310737800,0.008421605,0.301035362,0.306686374,0.310290080,0.314341506,0.321335678
sequential_mergesort,1,4,,,,,,1.322693998,0.013427168,1.312073344,1.314869764,1.318296749,1.326120983,1.342109150
sequential_k_way_mergesort,1,4,4,,,,,1.422898340,0.001320139,1.421833607,1.421928437,1.422541331,1.423511234,1.424677089
sequential_k_way_mergesort,1,4,8,,,,,1.210863065,0.013058528,1.200207542,1.203400068,1.206783494,1.214246491,1.229677730
parallel_mergesort,1,4,,1,,,1024,1.333516309,0.019848145,1.315671567,1.317355183,1.331321126,1.347482253,1.355751418
parallel_k_way_mergesort,1,4,4,1,,,1024,1.427239066,0.004107319,1.423391681,1.423836866,1.427357566,1.430759766,1.430849451
parallel_k_way_mergesort,1,4,8,1,,,1024,1.240906336,0.005860734,1.235384595,1.237740848,1.239580150,1.242745638,1.249080448
parallel_ranks_mergesort,1,4,,1,,,1024,1.428871327,0.002158918,1.426363635,1.427428306,1.429150993,1.430594013,1.430819687
parallel_ranks_k_way_mergesort,1,4,4,1,,,1024,4.525437015,0.018863844,4.505326644,4.512289072,4.524857062,4.538005005,4.546707291
parallel_ranks_k_way_mergesort,1,4,8,1,,,1024,2.707121737,0.019098855,2.680167360,2.702799772,2.711588351,2.715910316,2.725142885
parallel_mergesort,1,4,,1,,,4096,1.333459627,0.013136214,1.323374930,1.326626316,1.328869346,1.335702657,1.352724886
parallel_k_way_mergesort,1,4,4,1,,,4096,1.429500546,0.002803567,1.427688021,1.427888654,1.428328920,1.429940812,1.433656321
parallel_k_way_mergesort,1,4,8,1,,,4096,1.246860745,0.009420419,1.235730557,1.240833176,1.247839305,1.253866874,1.256033811
parallel_ranks_mergesort,1,4,,1,,,4096,1.386222313,0.005197719,1.380058986,1.383761880,1.386121658,1.388582091,1.392586948
parallel_ranks_k_way_mergesort,1,4,4,1,,,4096,4.164993339,0.012785011,4.148183661,4.161089218,4.166275049,4.170179171,4.179239596
parallel_ranks_k_way_mergesort,1,4,8,1,,,4096,2.511161435,0.009223581,2.504258592,2.504482510,2.508220775,2.514899700,2.523945598
parallel_mergesort,1,4,,2,1.850387999,0.925194000,1024,0.720668482,0.004000924,0.716437298,0.718688071,0.720110454,0.722090864,0.726015720
parallel_k_way_mergesort,1,4,4,2,1.796933936,0.898466968,1024,0.794263516,0.001860001,0.792054693,0.793063308,0.794536199,0.795736406,0.795926974
parallel_k_way_mergesort,1,4,8,2,1.737543148,0.868771574,1024,0.714172962,0.003353401,0.709399836,0.713610606,0.715015792,0.715578147,0.717260427
parallel_ranks_mergesort,1,4,,2,1.808916238,0.904458119,1024,0.789904639,0.000861805,0.788775361,0.789503821,0.790036016,0.790436834,0.790771161
parallel_ranks_k_way_mergesort,1,4,4,2,1.920294183,0.960147092,1024,2.356637360,0.002328397,2.353816309,2.355199151,2.356967283,2.358405492,2.358798565
parallel_ranks_k_way_mergesort,1,4,8,2,1.885502297,0.942751149,1024,1.435756265,0.008263379,1.428504186,1.431858494,1.433442657,1.437340428,1.447635561
parallel_mergesort,1,4,,2,1.870537698,0.935268849,4096,0.712875035,0.005101981,0.706372001,0.710586042,0.713296562,0.715585556,0.718535014
parallel_k_way_mergesort,1,4,4,2,1.803782354,0.901891177,4096,0.792501680,0.000569948,0.792030647,0.792163878,0.792329757,0.792667560,0.793316558
parallel_k_way_mergesort,1,4,8,2,1.736310719,0.868155360,4096,0.718109225,0.004906682,0.711828851,0.716357734,0.718422232,0.720173722,0.723763584
parallel_ranks_mergesort,1,4,,2,1.904841526,0.952420763,4096,0.727736294,0.010093473,0.721935603,0.722685798,0.723077813,0.728128309,0.742853946
parallel_ranks_k_way_mergesort,1,4,4,2,1.919143077,0.959571539,4096,2.170235971,0.006581422,2.162542935,2.167819462,2.169889376,2.172305884,2.178622196
parallel_ranks_k_way_mergesort,1,4,8,2,1.906681324,0.953340662,4096,1.317032586,0.002175203,1.314911626,1.315743354,1.316623877,1.317913108,1.319970966
parallel_mergesort,1,4,,4,2.623432412,0.655858103,1024,0.508309764,0.027855939,0.491466996,0.493933431,0.495910346,0.510286679,0.549951367
parallel_k_way_mergesort,1,4,4,4,3.031157412,0.757789353,1024,0.470856136,0.001553265,0.469429941,0.469760413,0.470559441,0.471655164,0.472875721
parallel_k_way_mergesort,1,4,8,4,2.703356118,0.675839030,1024,0.459024369,0.001691733,0.456914938,0.458026956,0.459392164,0.460389576,0.460398209
parallel_ranks_mergesort,1,4,,4,2.789364801,0.697341200,1024,0.512256886,0.002089365,0.510682538,0.511273080,0.511504353,0.512488159,0.515336300
parallel_ranks_k_way_mergesort,1,4,4,4,3.493582272,0.873395568,1024,1.295357218,0.012436232,1.279949226,1.288131488,1.297071714,1.304297445,1.307336220
parallel_ranks_k_way_mergesort,1,4,8,4,3.484465182,0.871116295,1024,0.776911691,0.004773869,0.770827207,0.774286636,0.777783664,0.780408719,0.781252229
parallel_mergesort,1,4,,4,2.688581566,0.672145391,4096,0.495971424,0.003646904,0.492907873,0.493101209,0.495212949,0.498083164,0.500551924
parallel_k_way_mergesort,1,4,4,4,3.031605544,0.757901386,4096,0.471532501,0.003454254,0.468592028,0.469408074,0.470567994,0.472692422,0.476401990
parallel_k_way_mergesort,1,4,8,4,2.744665312,0.686166328,4096,0.454285169,0.000634456,0.453641947,0.453830294,0.454233826,0.454688701,0.455031076
parallel_ranks_mergesort,1,4,,4,2.892587158,0.723146790,4096,0.479232686,0.035021425,0.460539397,0.461464058,0.462322998,0.480091626,0.531745350
parallel_ranks_k_way_mergesort,1,4,4,4,3.510472179,0.877618045,4096,1.186448183,0.004514301,1.179680362,1.186291824,1.188645389,1.188801749,1.188821593
parallel_ranks_k_way_mergesort,1,4,8,4,3.600345019,0.900086255,4096,0.697477998,0.003059223,0.693918159,0.695430505,0.697973065,0.700020558,0.700047701
parallel_mergesort,1,4,,8,3.707359888,0.463419986,1024,0.359694324,0.011325500,0.349179285,0.352313963,0.357345716,0.364726078,0.374906580
parallel_k_way_mergesort,1,4,4,8,3.804938388,0.475617298,1024,0.375101755,0.004375541,0.368615079,0.374409745,0.376949300,0.377641310,0.377893340
parallel_k_way_mergesort,1,4,8,8,3.369892019,0.421236502,1024,0.368233263,0.005211336,0.360834667,0.366609008,0.369731838,0.371356094,0.372634710
parallel_ranks_mergesort,1,4,,8,4.521484488,0.565185561,1024,0.316018186,0.006371914,0.307227547,0.313618344,0.317495374,0.319895217,0.321854450
parallel_ranks_k_way_mergesort,1,4,4,8,5.497543597,0.687192950,1024,0.823174375,0.012044230,0.805177859,0.822105812,0.828619298,0.829687862,0.830281044
parallel_ranks_k_way_mergesort,1,4,8,8,5.766632932,0.720829116,1024,0.469445822,0.001269148,0.467587827,0.469152589,0.469964767,0.470257999,0.470265927
parallel_mergesort,1,4,,8,3.870983017,0.483872877,4096,0.344475711,0.009216220,0.332877801,0.340637475,0.344935594,0.348773830,0.355153856
parallel_k_way_mergesort,1,4,4,8,3.801192898,0.475149112,4096,0.376066299,0.004546116,0.370105868,0.374583669,0.376511840,0.377994470,0.381135650
parallel_k_way_mergesort,1,4,8,8,3.439624847,0.429953106,4096,0.362499051,0.003194661,0.359683456,0.360796704,0.361629192,0.363331539,0.367054367
parallel_ranks_mergesort,1,4,,8,4.699170172,0.587396272,4096,0.294993001,0.014290336,0.277057311,0.289185967,0.295611744,0.301418777,0.311691207
parallel_ranks_k_way_mergesort,1,4,4,8,5.419048607,0.677381076,4096,0.768583868,0.004291079,0.762345049,0.767915923,0.769922031,0.770589976,0.772146361
parallel_ranks_k_way_mergesort,1,4,8,8,5.810758667,0.726344833,4096,0.432157241,0.003756580,0.428590718,0.429073501,0.432272044,0.435355784,0.435494160
sequential_mergesort,1,4,,,,,,5.659255255,0.040219444,5.618431433,5.628207497,5.659772372,5.690820130,5.699044843
sequential_k_way_mergesort,1,4,4,,,,,6.122732328,0.014705408,6.109293979,6.112172616,6.119973539,6.130533251,6.141688253
sequential_k_way_mergesort,1,4,8,,,,,5.226199637,0.027844778,5.196493402,5.207828044,5.224395064,5.242766657,5.259515016
parallel_mergesort,1,4,,1,,,1024,5.796928027,0.039154470,5.751697329,5.771955983,5.798575505,5.823547549,5.838863769
parallel_k_way_mergesort,1,4,4,1,,,1024,6.167127700,0.029554432,6.141113003,6.142526723,6.163990744,6.188591721,6.199416308
parallel_k_way_mergesort,1,4,8,1,,,1024,5.445237967,0.051069353,5.388381072,5.412456798,5.444260796,5.477041965,5.504049205
parallel_ranks_mergesort,1,4,,1,,,1024,6.242151609,0.004186735,6.238535976,6.239923964,6.240958871,6.243186515,6.248152716
parallel_ranks_k_way_mergesort,1,4,4,1,,,1024,19.086320665,0.725525357,18.554645946,18.637831585,18.825545043,19.274034123,20.139546628
parallel_ranks_k_way_mergesort,1,4,8,1,,,1024,16.995767526,0.346351756,16.707797556,16.763826480,16.899415605,17.131356651,17.476441339
parallel_mergesort,1,4,,1,,,4096,5.905518908,0.196274381,5.732970820,5.739497165,5.890475703,6.056497446,6.108153407
parallel_k_way_mergesort,1,4,4,1,,,4096,6.198781471,0.039768952,6.140091643,6.194362277,6.213336689,6.217755883,6.228360863
parallel_k_way_mergesort,1,4,8,1,,,4096,5.440191712,0.045234825,5.385765647,5.413162853,5.443837598,5.470866457,5.487326004
parallel_ranks_mergesort,1,4,,1,,,4096,6.035138721,0.037009002,6.001767283,6.007888258,6.028207604,6.055458068,6.082372394
parallel_ranks_k_way_mergesort,1,4,4,1,,,4096,17.298535317,0.113587916,17.202933158,17.214241372,17.271538746,17.355832692,17.448130619
parallel_ranks_k_way_mergesort,1,4,8,1,,,4096,15.608175977,0.028931155,15.567075770,15.598363621,15.618107812,15.627920167,15.629412513
parallel_mergesort,1,4,,2,1.869165746,0.934582873,1024,3.101345100,0.008179405,3.089237298,3.100028895,3.104663211,3.105979416,3.106816680
parallel_k_way_mergesort,1,4,4,2,1.805114754,0.902557377,1024,3.416474041,0.006420952,3.408435464,3.413125517,3.417060965,3.420409489,3.423338771
parallel_k_way_mergesort,1,4,8,2,1.738345097,0.869172548,1024,3.132426339,0.008909416,3.119858623,3.129299094,3.135146349,3.138273594,3.139554035
parallel_ranks_mergesort,1,4,,2,1.786339380,0.893169690,1024,3.494381683,0.009968732,3.482129113,3.489801130,3.494647489,3.499228042,3.506102640
parallel_ranks_k_way_mergesort,1,4,4,2,1.929787483,0.964893741,1024,9.890374372,0.124995292,9.760921790,9.802325151,9.882227446,9.970276667,10.036120806
parallel_ranks_k_way_mergesort,1,4,8,2,1.861929260,0.930964630,1024,9.128041483,0.192548683,8.974247551,8.990362698,9.073059698,9.210738484,9.391798985
parallel_mergesort,1,4,,2,1.915351839,0.957675920,4096,3.083255404,0.011812206,3.071749628,3.074703291,3.081815145,3.090367258,3.097641698
parallel_k_way_mergesort,1,4,4,2,1.816491276,0.908245638,4096,3.412502748,0.008471936,3.400257107,3.410398018,3.415215303,3.417320033,3.419323279
parallel_k_way_mergesort,1,4,8,2,1.752527049,0.876263524,4096,3.104198429,0.031907293,3.074475836,3.085293316,3.097061581,3.115966694,3.148194718
parallel_ranks_mergesort,1,4,,2,1.922961388,0.961480694,4096,3.138460688,0.010470225,3.126405947,3.131610398,3.139078372,3.145928662,3.149280061
parallel_ranks_k_way_mergesort,1,4,4,2,1.843861164,0.921930582,4096,9.381690800,0.078808088,9.293177586,9.345502690,9.374910059,9.411098169,9.483765497
parallel_ranks_k_way_mergesort,1,4,8,2,1.918793600,0.959396800,4096,8.134369416,0.071955711,8.045663464,8.096605824,8.138908801,8.176672394,8.213996599
parallel_mergesort,1,4,,4,2.582974543,0.645743636,1024,2.244283841,0.124972067,2.160806518,2.167802149,2.194217916,2.270699608,2.427893013
parallel_k_way_mergesort,1,4,4,4,2.949523525,0.737380881,1024,2.090889477,0.105495465,2.008325735,2.033614340,2.055229604,2.112504741,2.244772965
parallel_k_way_mergesort,1,4,8,4,2.768966635,0.692241659,1024,1.966523503,0.017959610,1.940978405,1.962679635,1.971060662,1.974904530,1.982994283
parallel_ranks_mergesort,1,4,,4,2.653194945,0.663298736,1024,2.352692410,0.115616058,2.252868370,2.286889869,2.320346285,2.386148826,2.517208697
parallel_ranks_k_way_mergesort,1,4,4,4,3.603032014,0.900758004,1024,5.297294220,0.140627963,5.214236760,5.225932724,5.233599685,5.304961182,5.507740751
parallel_ranks_k_way_mergesort,1,4,8,4,3.386538324,0.846634581,1024,5.018625482,0.518389185,4.752112377,4.752852590,4.763158565,5.028931458,5.796072419
parallel_mergesort,1,4,,4,2.748064886,0.687016221,4096,2.148973606,0.025105328,2.132695518,2.133536543,2.138635235,2.154072298,2.185928437
parallel_k_way_mergesort,1,4,4,4,3.088020691,0.772005173,4096,2.007363969,0.007323240,2.001148186,2.003680911,2.005183277,2.008866335,2.017941137
parallel_k_way_mergesort,1,4,8,4,2.760058767,0.690014692,4096,1.971041986,0.047895506,1.933500415,1.934215487,1.958116614,1.994943112,2.034434298
parallel_ranks_mergesort,1,4,,4,2.931803510,0.732950877,4096,2.058507230,0.027497180,2.032291278,2.036110400,2.058444766,2.080841596,2.084848110
parallel_ranks_k_way_mergesort,1,4,4,4,3.489587727,0.872396932,4096,4.957185969,0.072185935,4.916433439,4.920951831,4.923483847,4.959717985,5.065342743
parallel_ranks_k_way_mergesort,1,4,8,4,3.632490526,0.908122632,4096,4.296824964,0.036133664,4.258576192,4.272391623,4.294589679,4.319023020,4.339544308
parallel_mergesort,1,4,,8,3.938814875,0.492351859,1024,1.471744220,0.029441400,1.429006891,1.463942538,1.482800746,1.490602428,1.492368497
parallel_k_way_mergesort,1,4,4,8,3.774435192,0.471804399,1024,1.633920676,0.033096058,1.600003484,1.613661046,1.629406277,1.649665907,1.676866666
parallel_k_way_mergesort,1,4,8,8,3.478915997,0.434864500,1024,1.565211110,0.045411800,1.539931369,1.541612165,1.543835349,1.567434293,1.633242372
parallel_ranks_mergesort,1,4,,8,4.349431595,0.543678949,1024,1.435164911,0.048855559,1.388067470,1.415270965,1.424396998,1.444290944,1.503798178
parallel_ranks_k_way_mergesort,1,4,4,8,5.646395551,0.705799444,1024,3.380266312,0.093622785,3.294980625,3.306640102,3.367789878,3.441416089,3.490504866
parallel_ranks_k_way_mergesort,1,4,8,8,5.929591421,0.741198928,1024,2.866262836,0.032970842,2.842725475,2.849125178,2.853650925,2.870788583,2.915024020
parallel_mergesort,1,4,,8,4.023837563,0.502979695,4096,1.467633525,0.048807927,1.434095196,1.441387513,1.448241317,1.474487329,1.539956273
parallel_k_way_mergesort,1,4,4,8,3.958213530,0.494776691,4096,1.566055349,0.010919214,1.557033689,1.558131085,1.563225121,1.571149385,1.580737464
parallel_k_way_mergesort,1,4,8,8,3.554850746,0.444356343,4096,1.530357278,0.008862277,1.519951946,1.524660364,1.531159253,1.536856167,1.539158660
parallel_ranks_mergesort,1,4,,8,4.744628008,0.593078501,4096,1.271994077,0.059461819,1.215880248,1.234079812,1.260118106,1.298032370,1.351859846
parallel_ranks_k_way_mergesort,1,4,4,8,5.567004844,0.695875606,4096,3.107332543,0.033281371,3.067369998,3.086276056,3.112447447,3.133503934,3.137065278
parallel_ranks_k_way_mergesort,1,4,8,8,5.865813896,0.733226737,4096,2.660871322,0.025122992,2.638308978,2.647457002,2.654336186,2.667750506,2.696503939
